Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,postal_code,Business_Count
Saginaw,48604,33179,38.6,36.1,39.9,48604,4
Beaverton,48612,59769,44.5,44.4,45.1,48612,3
Clare,48617,38724,36.3,36.3,36.3,48617,2
Gladwin,48624,48025,49.2,49.4,49,48624,1
Houghton Lake,48629,53919,38,37.3,39.7,48629,3
Lupton,48635,76402,41,39.2,43.6,48635,1
Merrill,48637,37217,51.4,49.9,53.4,48637,2
Midland,48640,80250,48.2,46.2,49.5,48640,6
Midland,48642,62639,60.6,36.6,69.4,48642,3
Mio,48647,76429,50.3,49.8,50.7,48647,1
Pinconning,48650,63185.28,66.5,67.5,45.2,48650,1
Prudenville,48651,70743,51.9,51.5,53.4,48651,3
Rhodes,48652,42929,50,50.2,49.8,48652,1
Roscommon,48653,63185.28,69.5,71.8,68.6,48653,2
Saint Helen,48656,55096,59.6,61.1,58.1,48656,1
West Branch,48661,68525,41.1,41.2,41,48661,3
University Cente,48706,63897,43.8,43.3,44.4,48706,3
Bay City,48708,56725,55.4,55.8,55.1,48708,2
Caro,48723,62549,45.9,44.4,48.6,48723,4
Caseville,48725,52961,40.9,38,44.2,48725,1
East Tawas,48730,37321,63.3,64.4,60.9,48730,1
Essexville,48732,43074,41.7,40.7,42.7,48732,2
Frankenmuth,48734,48355,44.6,45.4,42.7,48734,2
Hale,48739,28472,27.6,29.8,27.3,48739,1
Mikado,48745,47816,55,54.6,55.5,48745,1
Millington,48746,46083,45.7,47.2,43.9,48746,1
Oscoda,48750,56875,40.1,40.2,39.9,48750,2
Prescott,48756,40953,61,59.3,62.7,48756,1
Tawas City,48763,44423,53.1,56.1,50.9,48763,1
Belding,48809,53341,42.6,43.8,41.1,48809,1
Charlotte,48813,39485,62.8,64.8,60.5,48813,6
Corunna,48817,54515,49.8,52,48.5,48817,1
Dewitt,48820,65278,47.3,47.3,47.2,48820,1
East Lansing,48823,48827,36.2,32.2,38.3,48823,5
Eaton Rapids,48827,54123,45.3,45.2,45.5,48827,2
Edmore,48829,75708,44.4,43.7,44.7,48829,2
Grand Ledge,48837,49955,41.3,36.4,48.3,48837,2
Greenville,48838,80443,41.4,42.3,40.1,48838,3
Holt,48842,82019,42.9,42.1,44.2,48842,1
Howell,48843,47128,24.3,24,24.8,48843,2
Ionia,48846,63185.28,19.4,19.5,19.3,48846,4
Ithaca,48847,70812,41.5,42.3,40.2,48847,2
Mason,48854,85527,42.5,41.6,44.8,48854,1
Mount Pleasant,48858,63750,50.3,48.7,53.2,48858,7
Owosso,48867,82161,40.9,40.8,41.1,48867,2
Portland,48875,41833,36.6,36.6,36.6,48875,2
Saint Johns,48879,72596,43.2,41.3,44.4,48879,2
Saint Louis,48880,44194,26.3,27.4,25.3,48880,2
Sheridan,48884,80438,47.1,46.4,47.7,48884,1
Sunfield,48890,50700,43.2,42.3,44.1,48890,1
Vestaburg,48891,29551,26.6,33.3,25.8,48891,1
Williamston,48895,64125,42.1,53.3,34.7,48895,2
Lansing,48906,48625,49.8,51.2,49,48906,4
Lansing,48910,49185,44.4,38.4,49.1,48910,3
Lansing,48911,74928,40.9,37.8,43.6,48911,2
Lansing,48912,50780,39.6,38.5,41.1,48912,4
Lansing,48917,60844,42.9,45.5,41.6,48917,2
Kalamazoo,49001,62596,46.8,51.4,42.2,49001,3
Kalamazoo,49002,58295,48.6,44.9,49.7,49002,4
Parchment,49004,50475,47.9,42.9,52.2,49004,1
Kalamazoo,49006,56667,47.9,48.5,47.4,49006,1
Kalamazoo,49007,58828,40.1,38.9,40.3,49007,3
Kalamazoo,49008,53182,34.3,33.4,35.9,49008,1
Kalamazoo,49009,78030,42.8,41.8,44.2,49009,1
Allegan,49010,63669,44.9,48.2,41.7,49010,2
Zcta 49014,49014,60125,42.3,42.6,41.8,49014,3
Battle Creek,49015,53125,35.2,35.9,34.2,49015,4
Battle Creek,49017,49886,33.6,32.8,34.7,49017,3
Benton Harbor,49022,46544,29.9,27.6,32.7,49022,5
Zcta 49024,49024,66096,42.3,39.4,46.1,49024,2
Cassopolis,49031,33120,27.2,27.9,26.5,49031,1
Centreville,49032,60000,30.7,29.5,32.1,49032,1
Coldwater,49036,53813,45,45.6,40.3,49036,3
Hartford,49057,56369,48.5,48.6,48.5,49057,1
Hastings,49058,61477,38.5,38.5,38.5,49058,3
Marshall,49068,61875,46.8,45.3,48.5,49068,1
Mattawan,49071,51709,48.8,48.4,49.3,49071,1
Paw Paw,49079,51719,37.7,34.9,43.1,49079,2
Plainwell,49080,69817,40.7,39.6,42.1,49080,3
South Haven,49090,63185.28,70.5,43.7,45.2,49090,3
Sturgis,49091,59932,42.2,44.2,38.9,49091,1
Three Rivers,49093,53636,48.1,37.2,52.3,49093,3
Union City,49094,61901,50.3,46,52.1,49094,1
Watervliet,49098,61083,43.5,38.2,46.2,49098,1
White Pigeon,49099,51848,44.8,39.5,47.4,49099,2
Bridgman,49106,62814,41.2,40.2,43.4,49106,2
Niles,49120,51513,45.3,47.4,41.7,49120,1
Sawyer,49125,54598,52.1,48.9,53.7,49125,1
Stevensville,49127,57500,43.1,42.2,44,49127,3
Jackson,49201,66563,40,40.1,39.8,49201,1
Jackson,49202,72788,41.5,39.9,42.8,49202,6
Jackson,49203,50527,39.4,39.8,38.7,49203,3
Adrian,49221,64000,46.5,42.8,49.7,49221,6
Britton,49229,83919,44,43.5,47.4,49229,1
Brooklyn,49230,58526,45.1,48.6,41.8,49230,1
Cement City,49233,63584,43,42.4,44.7,49233,1
Concord,49237,64727,57.2,55,59.9,49237,1
Grass Lake,49240,55905,42.6,40.9,44,49240,1
Hillsdale,49242,57552,38.7,33.4,40.3,49242,3
Hudson,49247,94597,60.1,57.2,66,49247,1
Jonesville,49250,37906,37.7,38.6,37.1,49250,1
Leslie,49251,50073,39.1,36,43,49251,1
Litchfield,49252,66167,40.8,39.6,44.9,49252,1
Reading,49274,53814,35.6,38.5,34.3,49274,1
Baldwin,49304,63185.28,47.5,43.7,48,49304,1
Belmont,49306,70078,48.3,47.7,49.1,49306,1
Big Rapids,49307,55780,54.4,57.2,53.4,49307,3
Cedar Springs,49319,50735,39.6,41.4,38.6,49319,1
