Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,Has_Thrift_Store,List_of_Stores
Oxford,48371,97981.00,39.5,39.1,39.9,,
Novi,48374,76484.00,45.1,42.5,45.7,,
Novi,48375,96446.00,43.8,44.5,43.1,,
Novi,48377,86979.00,47.1,46.4,47.6,,
Milford,48380,87356.00,39.2,38.6,39.9,,
Milford,48381,117484.00,41.5,41.6,41.4,,
Commerce Townshi,48382,98333.00,43.9,43,45,,
White Lake,48383,157536.00,38.1,37.7,39.3,,
White Lake,48386,95746.00,47.4,44.3,51.2,,
Wolverine Lake,48390,89000.00,38.4,45.5,35,,
Wixom,48393,100872.00,40.5,40.5,40.5,,
Applegate,48401,158631.00,38.6,39.8,37.9,,
Attica,48412,101812.00,40.8,39.7,42.4,,
Bad Axe,48413,73345.00,38.4,39.3,37.6,,
Bancroft,48414,121116.00,48.2,48.7,47.9,,
Birch Run,48415,90273.00,42.2,41.7,42.9,,
Brown City,48416,117753.00,42.6,42.6,42.6,,
Burt,48417,89646.00,42.8,41,44.4,,
Byron,48418,83598.00,44.6,42.7,47.8,,
Carsonville,48419,74951.00,43.9,42.3,45.3,,
Clio,48420,70215.00,36.1,36.3,35.8,,
Columbiaville,48421,53917.00,51.8,46.3,55.4,,
Croswell,48422,48438.00,38.4,32.5,47.3,,
Davison,48423,63185.28,44.5,43.7,45.2,,
Decker,48426,72473.00,49.6,49.2,49.9,,
Deckerville,48427,50200.00,45.8,42.2,47.9,,
Dryden,48428,68750.00,42.7,40.3,43,,
Durand,48429,68860.00,43.3,39.7,47.2,,
Fenton,48430,59081.00,38.6,40.3,37.5,,
Filion,48432,62647.00,47.2,46.7,47.8,,
Flushing,48433,74531.00,44,40.6,45.7,,
Forestville,48434,54018.00,44.7,43.5,47,,
Fostoria,48435,58443.00,44.2,41.1,46.1,,
Gaines,48436,61184.00,48.3,45.5,48.9,,
Genesee,48437,54005.00,45.6,45.9,44.4,,
Goodrich,48438,59385.00,40.9,37.7,43.2,,
Grand Blanc,48439,58947.00,28.7,28.4,29.1,,
Hadley,48440,53807.00,45.8,46.8,42.7,,
Harbor Beach,48441,82272.00,44.7,44.5,44.9,,
Holly,48442,53682.00,48,47.4,48.5,,
Imlay City,48444,88196.00,42.4,41.7,43.7,,
Kinde,48445,58438.00,48.3,54.5,36,,
Lapeer,48446,71041.00,42.7,40.4,45.9,,
Lennon,48449,34500.00,62.5,64.5,62.4,,
Lexington,48450,76222.00,37.9,39.8,36.9,,
Linden,48451,84055.00,44,43,44.2,,
Marlette,48453,33750.00,32.7,28.6,46,,
Melvin,48454,99167.00,43.9,43.5,44.8,,
Metamora,48455,81012.00,42.5,41.1,43.3,,
Minden City,48456,63185.28,50.5,43.9,58,,
Montrose,48457,50563.00,46.3,45.8,47.3,,
Mount Morris,48458,68908.00,43.4,43.1,44.4,,
New Lothrop,48460,63166.00,39.5,40.1,38.7,,
North Branch,48461,47625.00,50.3,50.3,50.1,,
Ortonville,48462,62361.00,44.4,43,46.8,,
Otisville,48463,53484.00,35.5,32,39.4,,
Otter Lake,48464,50181.00,57.5,57,59.1,,
Palms,48465,93134.00,42.8,42.4,42.9,,
Peck,48466,44201.00,38.1,36.6,39.1,,
Port Austin,48467,50833.00,44.4,45,42.9,,
Port Hope,48468,86357.00,49.3,48.8,49.5,,
Port Sanilac,48469,53438.00,46.8,46.7,47,,
Ruth,48470,57209.00,45.2,43.4,46.3,,
Sandusky,48471,40257.00,39.1,37,41.7,,
Snover,48472,74632.00,37.3,39.2,36.6,,
Swartz Creek,48473,68606.00,41,41.5,40,,
Ubly,48475,93428.00,45.3,42.2,48.5,,
Vernon,48476,62880.00,45.5,47.7,43.3,,
Flint,48502,57857.00,53.6,52.6,54.6,,
Flint,48503,54375.00,42.4,44.2,40.6,,
Northwest,48504,50926.00,51.5,51.6,51.4,,
Flint,48505,47317.00,60.1,59.3,61.3,,
Northeast,48506,55294.00,58.9,57.3,61.2,,
Flint,48507,46557.00,58.7,58.7,58.7,,
Northeast,48509,50385.00,48.4,46.4,56.5,,
Southeast,48519,52250.00,44.7,40.8,47.8,,
Southeast,48529,53828.00,47.3,47.7,46.3,,
Northwest,48532,68532.00,45.6,41.6,48,,
Saginaw,48601,58688.00,44.1,45.4,42.5,,
Saginaw,48602,67250.00,44.5,41.9,44.7,,
Saginaw,48603,40938.00,26.8,29.8,21.7,,
Saginaw,48604,33179.00,38.6,36.1,39.9,,
Saginaw,48607,36811.00,34.5,32,36.5,,
Saginaw,48609,29061.00,34.1,30,37.1,,
Alger,48610,41218.00,39.1,38.3,40,,
Auburn,48611,38491.00,37.3,36.7,38.4,,
Beaverton,48612,59769.00,44.5,44.4,45.1,,
Bentley,48613,54728.00,42.1,43,41.5,,
Brant,48614,30985.00,38.8,38.3,39.3,,
Breckenridge,48615,45968.00,39.1,39.2,39,,
Chesaning,48616,34030.00,37.2,34.1,39.9,,
Clare,48617,38724.00,36.3,36.3,36.3,,
Coleman,48618,58341.00,43.5,40,47,,
Comins,48619,47458.00,28.4,29.3,27.4,,
Edenville,48620,37917.00,37.8,36.4,42.1,,
Fairview,48621,72140.00,49.6,47.5,51.6,,
Farwell,48622,46328.00,52.9,54.8,50.1,,
Freeland,48623,65000.00,43.8,42.1,46.6,,
Gladwin,48624,48025.00,49.2,49.4,49,,
Harrison,48625,44886.00,45.5,45.8,44.5,,
Hemlock,48626,48750.00,48.8,49.1,48.4,,
Higgins Lake,48627,64063.00,39.8,38.5,42.3,,
Hope,48628,54264.00,43,44.2,42.4,,
Houghton Lake,48629,53919.00,38,37.3,39.7,,
Houghton Lake He,48630,52934.00,46.9,45,47.3,,
Kawkawlin,48631,41815.00,62.1,62.7,59.7,,
Lake,48632,48750.00,61.8,65.5,60.9,,
Lake George,48633,45714.00,59.4,52.8,60.1,,
Linwood,48634,50722.00,46.9,43.9,49.9,,
Lupton,48635,76402.00,41,39.2,43.6,,
Luzerne,48636,48264.00,50.9,49,52.9,,
Merrill,48637,37217.00,51.4,49.9,53.4,,
Midland,48640,80250.00,48.2,46.2,49.5,,
Midland,48642,62639.00,60.6,36.6,69.4,,
Mio,48647,76429.00,50.3,49.8,50.7,,
Oakley,48649,48013.00,56.9,55.5,58.1,,
Pinconning,48650,63185.28,66.5,67.5,45.2,,
Prudenville,48651,70743.00,51.9,51.5,53.4,,
Rhodes,48652,42929.00,50,50.2,49.8,,
Roscommon,48653,63185.28,69.5,71.8,68.6,,
Rose City,48654,69286.00,43,42.9,44.6,,
Saint Charles,48655,43821.00,58.4,59.3,57,,
Saint Helen,48656,55096.00,59.6,61.1,58.1,,
Sanford,48657,55929.00,43.5,44.5,43.1,,
Standish,48658,57767.00,46.2,44.1,47.9,,
Sterling,48659,71131.00,38.6,36.4,40.7,,
West Branch,48661,68525.00,41.1,41.2,41,,
Wheeler,48662,46359.00,38.9,37.7,42.6,,
Akron,48701,59844.00,52.9,52.1,55.1,,
Au Gres,48703,60658.00,46.4,44,49.5,,
Barton City,48705,38638.00,48,51.2,46.7,,
University Cente,48706,63897.00,43.8,43.3,44.4,,
Bay City,48708,56725.00,55.4,55.8,55.1,,
Bay Port,48720,41507.00,55.6,52.4,57.8,,
Black River,48721,63007.00,45.7,44.6,46.1,,
Bridgeport,48722,37241.00,59.3,59,59.7,,
Caro,48723,62549.00,45.9,44.4,48.6,,
Carrollton,48724,45227.00,45.8,45.3,46.6,,
Caseville,48725,52961.00,40.9,38,44.2,,
Cass City,48726,49149.00,48.8,47.1,51.5,,
Clifford,48727,60388.00,47,45.7,48.1,,
Curran,48728,51917.00,43.3,43.1,43.6,,
Deford,48729,48889.00,56.9,58.8,55.7,,
East Tawas,48730,37321.00,63.3,64.4,60.9,,
Elkton,48731,53002.00,43.8,42.2,45.5,,
Essexville,48732,43074.00,41.7,40.7,42.7,,
Fairgrove,48733,63185.28,44.5,43.7,45.2,,
Frankenmuth,48734,48355.00,44.6,45.4,42.7,,
Gagetown,48735,40000.00,56.9,57,56.9,,
Glennie,48737,57179.00,49.5,44.4,51.3,,
Greenbush,48738,52712.00,43,40.5,47.3,,
Hale,48739,28472.00,27.6,29.8,27.3,,
Harrisville,48740,54353.00,60.1,59.8,60.2,,
Kingston,48741,57599.00,42.9,43.2,42.7,,
Lincoln,48742,56618.00,45.6,44.9,45.7,,
Long Lake,48743,39375.00,62.9,60.8,64.4,,
Mayville,48744,47422.00,39.8,39.6,41.3,,
Mikado,48745,47816.00,55,54.6,55.5,,
Millington,48746,46083.00,45.7,47.2,43.9,,
Munger,48747,48247.00,46.6,43.2,49.6,,
National City,48748,47847.00,45.5,45.8,44.7,,
Omer,48749,81222.00,47.6,48.7,47.1,,
Oscoda,48750,56875.00,40.1,40.2,39.9,,
Owendale,48754,38688.00,56.6,60.2,54.1,,
Pigeon,48755,55089.00,58.9,56.7,59.8,,
Prescott,48756,40953.00,61,59.3,62.7,,
Reese,48757,49078.00,56.8,54.1,59.4,,
Sebewaing,48759,54250.00,49.3,50.3,47.8,,
Silverwood,48760,44878.00,56.6,55.9,58.2,,
South Branch,48761,63185.28,47.1,39,48.3,,
Spruce,48762,50223.00,49.8,49.3,51.8,,
Tawas City,48763,44423.00,53.1,56.1,50.9,,
Turner,48765,57280.00,45,42.7,46.5,,
Twining,48766,69583.00,44.1,41.5,45.2,,
Unionville,48767,42361.00,58.8,58.4,59.2,,
Vassar,48768,46618.00,41.1,42.3,40.3,,
Whittemore,48770,42145.00,50.1,48.7,52.8,,
Alma,48801,64688.00,47.7,49.2,47.5,,
Ashley,48806,56042.00,52.5,51.4,53.9,,
Bannister,48807,34470.00,49.2,51.2,47.3,,
Bath,48808,66875.00,47,44.6,48.3,,
Belding,48809,53341.00,42.6,43.8,41.1,,
Carson City,48811,53167.00,48.1,45.5,48.9,,
Charlotte,48813,39485.00,62.8,64.8,60.5,,
Clarksville,48815,54327.00,59.1,56.5,59.8,,
Corunna,48817,54515.00,49.8,52,48.5,,
Crystal,48818,40536.00,56.3,55,57.8,,
Dansville,48819,47083.00,48.4,48.2,48.7,,
Dewitt,48820,65278.00,47.3,47.3,47.2,,
Dimondale,48821,52097.00,41.8,40.8,42.7,,
Eagle,48822,44539.00,49.3,48.7,49.4,,
East Lansing,48823,48827.00,36.2,32.2,38.3,,
East Lansing,48824,54531.00,42.6,42.3,43.4,,
Eaton Rapids,48827,54123.00,45.3,45.2,45.5,,
Edmore,48829,75708.00,44.4,43.7,44.7,,
Elm Hall,48830,59640.00,38,36.8,40.9,,
